Telur Ayam;28000.000000;350;3000.000000;1050000.000000
Minyak Goreng;15000.000000;500;2000.000000;1000000.000000
Gula Pasir;14000.000000;450;1800.000000;810000.000000
Tepung Terigu;12000.000000;400;1500.000000;600000.000000
Beras Medium;55000.000000;60;9000.000000;540000.000000
Beras Premium;60000.000000;50;10000.000000;500000.000000
kacang slebew;2000.000000;500;1000.000000;500000.000000
Sarden Kaleng;13000.000000;220;2200.000000;484000.000000
Aqua Botol;4000.000000;600;800.000000;480000.000000
Kecap ABC;11000.000000;260;1800.000000;468000.000000
Saus Sambal;10000.000000;240;1700.000000;408000.000000
Roti Tawar;10000.000000;200;2000.000000;400000.000000
Air Galon;20000.000000;200;2000.000000;400000.000000
Susu Dancow;20000.000000;150;2500.000000;375000.000000
Jus Buah;10000.000000;250;1500.000000;375000.000000
Pasta Gigi Pepsodent;7000.000000;300;1200.000000;360000.000000
Susu Bendera;18000.000000;160;2200.000000;352000.000000
Coklat SilverQueen Almond;15000.000000;140;2500.000000;350000.000000
Air Mineral Botol Besar;5000.000000;500;700.000000;350000.000000
Qtela;9000.000000;180;1800.000000;324000.000000
Susu Bayi;30000.000000;80;4000.000000;320000.000000
Dettol Cair;20000.000000;80;4000.000000;320000.000000
Es Teh Botol;5000.000000;400;800.000000;320000.000000
Kopi Kapal Api;5000.000000;350;900.000000;315000.000000
Shampoo Head&Shoulders;18000.000000;90;3500.000000;315000.000000
Teh Botol Sosro;4500.000000;350;900.000000;315000.000000
SilverQueen;12000.000000;120;2500.000000;300000.000000
Mie Instan Pedas;3500.000000;500;600.000000;300000.000000
Biskuit Roma;6000.000000;250;1200.000000;300000.000000
Chitato;10000.000000;150;2000.000000;300000.000000
Shampoo Sunsilk;15000.000000;100;3000.000000;300000.000000
Susu Ultra;5000.000000;300;1000.000000;300000.000000
Baygon Spray;25000.000000;60;5000.000000;300000.000000
Es Krim Cornetto;10000.000000;200;1500.000000;300000.000000
Biskuit Oreo;8000.000000;200;1500.000000;300000.000000
Minuman Isotonik;7000.000000;300;1000.000000;300000.000000
Teh Pucuk;3500.000000;400;700.000000;280000.000000
Mie Instan Kari;3500.000000;450;600.000000;270000.000000
Kecap Manis;12000.000000;180;1500.000000;270000.000000
Sereal Sarapan;25000.000000;90;3000.000000;270000.000000
Minyak Kelapa;20000.000000;100;2500.000000;250000.000000
Indomie Goreng;3000.000000;500;500.000000;250000.000000
Martabak Mini;8000.000000;250;1000.000000;250000.000000
Energen;4000.000000;300;800.000000;240000.000000
Vitamin C;15000.000000;120;2000.000000;240000.000000
Sabun Mandi Lifebuoy;5000.000000;240;1000.000000;240000.000000
Sabun Dettol;6000.000000;200;1200.000000;240000.000000
Donat;5000.000000;300;800.000000;240000.000000
Sampo Clear;17000.000000;80;3000.000000;240000.000000
Sampo Pantene;18000.000000;75;3200.000000;240000.000000
Mie Sedap;3200.000000;480;500.000000;240000.000000
Indomie Kuah;3000.000000;450;500.000000;225000.000000
Kerupuk Udang;12000.000000;150;1500.000000;225000.000000
Roti Sobek;12000.000000;150;1500.000000;225000.000000
Sabun Cuci Rinso;15000.000000;150;1500.000000;225000.000000
Es Krim Wall's;8000.000000;150;1500.000000;225000.000000
Sabun Daia;14000.000000;160;1400.000000;224000.000000
Lifebuoy Sabun;5000.000000;220;1000.000000;220000.000000
Margarin Blue Band;12000.000000;180;1200.000000;216000.000000
Tisu Basah;8000.000000;300;700.000000;210000.000000
Air Mineral Gelas;2000.000000;700;300.000000;210000.000000
Pop Mie;5000.000000;300;700.000000;210000.000000
Tisu Kering;7000.000000;350;600.000000;210000.000000
Keripik Singkong;8000.000000;200;1000.000000;200000.000000
Kopi ABC;4000.000000;500;400.000000;200000.000000
Saus Tomat;9000.000000;200;1000.000000;200000.000000
Mentega;20000.000000;100;2000.000000;200000.000000
Minyak Wijen;15000.000000;100;2000.000000;200000.000000
Keju Kraft;25000.000000;80;2500.000000;200000.000000
Masker Medis;25000.000000;200;1000.000000;200000.000000
Susu Kental Manis;12000.000000;200;1000.000000;200000.000000
Air Soda;7000.000000;150;1200.000000;180000.000000
Obat Flu;12000.000000;100;1800.000000;180000.000000
Kopi Good Day;5000.000000;350;500.000000;175000.000000
Teh Celup Sariwangi;6000.000000;250;600.000000;150000.000000
Bubur Bayi;10000.000000;100;1500.000000;150000.000000
Permen Coklat;4000.000000;450;300.000000;135000.000000
Santan Kara;7000.000000;150;800.000000;120000.000000
Merica Bubuk;8000.000000;120;1000.000000;120000.000000
Garam Dapur;3000.000000;400;300.000000;120000.000000
Permen Mint;3000.000000;500;200.000000;100000.000000
